year,housing,housing_inf,food,food_inf,housing_national,housing_national_inf,national,national_inf
1982,97.8,248.42213471502592,96.9,246.1360414507772,96.9,96.9,96.5,96.5
1983,97.7,240.44401606425706,99.1,243.8894779116466,99.5,99.49999999999999,99.6,99.6
1984,104.5,246.53551491819056,103.9,245.12,103.6,103.6,103.9,103.9
1985,111.2,253.32104089219334,106.0,241.475092936803,107.7,107.7,107.6,107.6
1986,117.5,262.7883211678832,109.5,244.89635036496352,110.9,110.9,109.6,109.6
1987,121.5,262.16619718309863,114.0,245.98309859154932,114.2,114.2,113.6,113.6
1988,126.9,262.9393744716822,121.1,250.92165680473371,118.5,118.5,118.3,118.3
1989,132.4,261.7249032258065,129.1,255.20154838709675,123.0,123.0,124.0,124.0
1990,137.3,257.49790359602144,135.7,254.49719969395565,128.5,128.5,130.7,130.7
1991,142.7,256.81809104258446,139.9,251.77891336270193,133.6,133.6,136.2,136.2
1992,146.2,255.42796863863146,142.3,248.61422665716321,137.5,137.5,140.3,140.3
1993,149.2,253.0927612456747,145.9,247.49486505190313,141.2,141.2,144.5,144.5
1994,151.5,250.5781376518219,149.0,246.44318488529015,144.8,144.8,148.2,148.2
1995,154.5,248.49763779527558,152.0,244.47664041994747,148.5,148.5,152.4,152.4
1996,157.4,245.90113448056084,155.7,243.24527724665393,152.8,152.8,156.9,156.9
1997,165.6,252.9088598130841,160.6,245.272722741433,156.8,156.8,160.5,160.5
1998,174.4,262.26336196319016,167.1,251.28559509202452,160.4,160.4,163.0,163.0
1999,185.6,273.0748619447779,171.5,252.3294117647059,163.9,163.9,166.6,166.6
2000,197.0,280.4218350754936,175.7,250.1021138211382,169.6,169.6,172.2,172.2
2001,216.5,299.65262563523436,182.2,252.17879164313948,176.4,176.4,177.1,177.1
2002,221.4,301.6651917732073,186.1,253.56771539744304,180.3,180.3,179.9,179.9
2003,223.7,298.00730434782605,190.6,253.91234782608697,184.8,184.8,184.0,184.0
2004,221.5,287.422339862361,199.7,259.13427210164105,189.5,189.5,188.9,188.9
2005,223.8,280.89019969278036,202.9,254.65871991807478,195.7,195.7,195.3,195.3
2006,230.5,280.2587301587302,206.5,251.07777777777778,203.2,203.2,201.6,201.6
2007,238.09,281.47032824994454,214.973,254.14137878480966,209.586,209.58600000000004,207.342,207.342
2008,242.561,276.1529208603689,224.299,255.36184298407363,216.264,216.264,215.303,215.303
2009,246.168,281.26010972466287,227.533,259.96862527209754,217.057,217.057,214.537,214.537
2010,245.183,275.6138650621858,227.018,255.1943177899255,216.256,216.256,218.056,218.056
2011,248.98,271.3179021868151,233.682,254.64740147328828,219.102,219.102,224.939,224.939
2012,257.142,274.5308981942037,239.472,255.665987090255,222.715,222.715,229.594,229.594
2013,266.418,280.3280440596333,245.873,258.7103618264315,227.351,227.351,232.957,232.957
2014,277.507,287.3349040281158,252.96,261.91857258718574,233.215,233.215,236.736,236.736
2015,292.78,302.789393165891,261.569,270.5113695642085,238.06,238.06,237.017,237.017
2016,309.311,315.9004209043903,266.767,272.45008287258287,243.973,243.973,240.007,240.007
2017,324.38,324.38,268.496,268.496,251.229,251.229,245.12,245.12
